#{"solver": {"engine": {"type": "ExactEngine"}, "semiring": "GraphSemiring"}, "networks": [{"name": "mnist_net", "module": "MNIST_Net(\n  (softmax): Softmax(dim=1)\n  (encoder): Sequential(\n    (0): Conv2d(1, 6, kernel_size=(5, 5), stride=(1, 1))\n    (1): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)\n    (2): ReLU(inplace=True)\n    (3): Conv2d(6, 16, kernel_size=(5, 5), stride=(1, 1))\n    (4): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)\n    (5): ReLU(inplace=True)\n  )\n  (classifier): Sequential(\n    (0): Linear(in_features=256, out_features=120, bias=True)\n    (1): ReLU()\n    (2): Linear(in_features=120, out_features=84, bias=True)\n    (3): ReLU()\n    (4): Linear(in_features=84, out_features=10, bias=True)\n  )\n)", "optimizer": "Adam (\nParameter Group 0\n    amsgrad: False\n    betas: (0.9, 0.999)\n    capturable: False\n    differentiable: False\n    eps: 1e-08\n    foreach: None\n    fused: None\n    lr: 0.001\n    maximize: False\n    weight_decay: 0\n)", "k": null}], "program": "nn(mnist_net,[X],Y,[0, 1, 2, 3, 4, 5, 6, 7, 8, 9])::digit(X,Y).\nnumber([],Result,Result).\nnumber([H | T],Acc,Result) :- digit(H,Nr), Acc2 is Nr+10*Acc, number(T,Acc2,Result).\nnumber(X,Y) :- number(X,0,Y).\nmulti_addition(X,Y,Z) :- number(X,X2), number(Y,Y2), Z is X2+Y2.\naddition(X,Y,Z) :- digit(X,X2), digit(Y,Y2), Z is X2+Y2.\n"}
#Accuracy 0.9412
i,time,loss,ground_time,compile_time,eval_time,total_iter_time
100,1.626492977142334,2.762267138957977,0.007145280838012695,0.00290785551071167,0.004838334321975708,0.014891470670700074
200,2.899988889694214,2.6313693368434907,0.00722535490989685,0.0029457616806030274,0.004812804460525513,0.014983921051025391
300,4.177605867385864,2.4235433214902877,0.007232187986373901,0.002927759885787964,0.00481248140335083,0.014972429275512695
400,5.451214075088501,2.2166763806343077,0.0072079885005950925,0.0029262638092041014,0.004835319519042969,0.014969571828842163
500,6.700305938720703,1.7828210976719856,0.007196719646453857,0.0028988146781921387,0.004667656421661377,0.014763190746307372
600,7.950738906860352,1.3159326813742518,0.007234189510345459,0.0029305553436279295,0.004688371419906617,0.014853116273880005
700,9.253345012664795,0.9730124844657257,0.007233579158782959,0.002942013740539551,0.004727588891983032,0.014903181791305542
800,10.62093997001648,0.6872278396955517,0.0072242140769958494,0.0029300820827484132,0.004835238456726074,0.014989534616470337
900,11.90962290763855,0.5683776760686123,0.007175474166870117,0.0029440057277679444,0.004552268981933593,0.014671748876571656
1000,13.142974853515625,0.4990924579228886,0.007220981121063233,0.0029427480697631837,0.0044478499889373775,0.014611579179763794
1100,14.36889910697937,0.4831902584760155,0.007177200317382813,0.002931957244873047,0.004433397054672241,0.0145425546169281
1200,15.54129695892334,0.44808803010535486,0.007235852479934693,0.0029468917846679687,0.004037261009216309,0.01422000527381897
1300,16.81679892539978,0.3341362146805477,0.0071980953216552734,0.0029588079452514647,0.004078512191772461,0.0142354154586792
1400,18.079633951187134,0.36297404760641166,0.00718368649482727,0.002933712005615234,0.003955230712890625,0.01407262921333313
