#{"solver": {"engine": {"type": "ExactEngine"}, "semiring": "GraphSemiring"}, "networks": [{"name": "mnist_net", "module": "MNIST_Net(\n  (softmax): Softmax(dim=1)\n  (encoder): Sequential(\n    (0): Conv2d(1, 6, kernel_size=(5, 5), stride=(1, 1))\n    (1): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)\n    (2): ReLU(inplace=True)\n    (3): Conv2d(6, 16, kernel_size=(5, 5), stride=(1, 1))\n    (4): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)\n    (5): ReLU(inplace=True)\n  )\n  (classifier): Sequential(\n    (0): Linear(in_features=256, out_features=120, bias=True)\n    (1): ReLU()\n    (2): Linear(in_features=120, out_features=84, bias=True)\n    (3): ReLU()\n    (4): Linear(in_features=84, out_features=10, bias=True)\n  )\n)", "optimizer": "Adam (\nParameter Group 0\n    amsgrad: False\n    betas: (0.9, 0.999)\n    capturable: False\n    differentiable: False\n    eps: 1e-08\n    foreach: None\n    fused: None\n    lr: 0.001\n    maximize: False\n    weight_decay: 0\n)", "k": null}], "program": "nn(mnist_net,[X],Y,[0, 1, 2, 3, 4, 5, 6, 7, 8, 9])::digit(X,Y).\nnumber([],Result,Result).\nnumber([H | T],Acc,Result) :- digit(H,Nr), Acc2 is Nr+10*Acc, number(T,Acc2,Result).\nnumber(X,Y) :- number(X,0,Y).\nmulti_addition(X,Y,Z) :- number(X,X2), number(Y,Y2), Z is X2+Y2.\naddition(X,Y,Z) :- digit(X,X2), digit(Y,Y2), Z is X2+Y2.\n"}
#Accuracy 0.9224
i,time,loss,ground_time,compile_time,eval_time,total_iter_time
100,58.938535928726196,5.067346982955932,0.4372981786727905,0.021368793249130248,0.026508651971817017,0.4851756238937378
200,78.06680297851562,5.057487008571624,0.4305078232288361,0.021785972118377687,0.024071942567825317,0.47636573791503906
300,92.15108394622803,4.976248136758804,0.4499387526512146,0.021408435106277466,0.02382030963897705,0.4951674973964691
400,101.45961117744446,4.371235898733139,0.4401764559745789,0.021163390874862673,0.026276036500930786,0.4876158833503723
500,110.31722903251648,2.700397002325626,0.45025774717330935,0.021667453050613402,0.022053334712982178,0.4939785349369049
600,115.66830205917358,1.2368402169784531,0.43482820510864256,0.02149679183959961,0.020164244174957276,0.47648924112319946
700,122.62749314308167,0.9415929921122733,0.4536764967441559,0.02129704475402832,0.01914337754249573,0.49411691904067995
800,127.01919198036194,0.7011919639958069,0.42718052983283994,0.021429001092910765,0.019607917070388795,0.4682174479961395
900,132.66903018951416,0.8419710279150604,0.4383418834209442,0.021170445680618287,0.019349595308303835,0.47886192440986636
1000,137.43671298027039,0.7975773989013396,0.43342235445976257,0.02143253803253174,0.019286733865737916,0.47414162635803225
1100,142.73467683792114,0.8692289661162067,0.4350268089771271,0.021494868993759155,0.019054858684539794,0.47557653665542604
1200,147.89404296875,0.7405709609817132,0.4370222496986389,0.021840518712997435,0.01911595344543457,0.4779787218570709
1300,152.55431699752808,0.5298321252324968,0.4506770646572113,0.02102291226387024,0.018907122611999512,0.49060709953308107
1400,156.3173189163208,0.43787175407720497,0.46233500719070436,0.021290434598922728,0.016617519855499266,0.5002429616451264
1500,160.9307680130005,0.5840316654955677,0.4478024399280548,0.021453195810317995,0.018613561391830444,0.48786919713020327
1600,164.81587505340576,0.5461882208724274,0.43902026414871215,0.021150634288787842,0.017169281244277954,0.47734017968177794
1700,168.7229700088501,0.420615351074448,0.4488609445095062,0.021567732095718384,0.0172888720035553,0.4877175486087799
1800,173.33154892921448,0.6656646670580085,0.43541842579841616,0.021912068128585815,0.02087986469268799,0.47821035861968997
1900,177.65702199935913,0.5459395321561169,0.4496875441074371,0.021794933080673217,0.01925306558609009,0.49073554277420045
2000,182.29839897155762,0.59884916049592,0.4373653554916382,0.021352759599685668,0.01877899169921875,0.4774971067905426
2100,186.09564113616943,0.3837245637307569,0.42969205141067507,0.02141354441642761,0.016777229309082032,0.4678828251361847
2200,189.9769058227539,0.4479154723562533,0.44442653059959414,0.021562139987945556,0.017183891534805297,0.483172562122345
2300,194.07022309303284,0.4177127577479405,0.44418186783790586,0.02160319447517395,0.018198316097259522,0.48398337841033934
2400,198.42727708816528,0.24459969299452497,0.4440466570854187,0.020921649932861327,0.017315640449523925,0.48228394746780395
2500,202.3284649848938,0.356525768567808,0.4429121732711792,0.021417080163955687,0.017391619682312013,0.4817208731174469
2600,206.5605330467224,0.4036465148932621,0.45421178579330446,0.0213040030002594,0.01901670217514038,0.4945324909687042
2700,210.27095007896423,0.18651980262416146,0.43953416228294373,0.021318590641021727,0.016449062824249266,0.47730181574821473
2800,213.79688692092896,0.40198450289955373,0.45348854303359987,0.021538909673690796,0.0154647958278656,0.49049224853515627
2900,217.77224493026733,0.38327097832743673,0.43817936778068545,0.021321699619293213,0.017305463552474976,0.4768065309524536
3000,221.33055782318115,0.2940341854620319,0.44303967714309694,0.021619280576705934,0.015374090671539307,0.48003304839134214
3100,225.16055607795715,0.39916661488994576,0.4518710112571716,0.021541035175323485,0.016932560205459593,0.4903446066379547
3200,228.85510802268982,0.4895004236547356,0.45412676095962523,0.021777156591415405,0.016319321393966676,0.4922232389450073
3300,232.73495602607727,0.3228777307863493,0.42228468537330627,0.021691410541534423,0.01714405059814453,0.4611201465129852
3400,236.79840993881226,0.6272708667686675,0.4521357524394989,0.021515095233917238,0.01816041350364685,0.491811261177063
3500,240.60319089889526,0.28193291366944323,0.43866580843925473,0.021218260526657106,0.017025225162506104,0.476909294128418
3600,245.00935912132263,0.39257430745186866,0.4245211124420166,0.021286416053771972,0.01993209481239319,0.46573962330818175
3700,249.43515586853027,0.3463016431497454,0.44462214469909667,0.02150222659111023,0.017515794038772584,0.48364016532897947
3800,253.1724898815155,0.2828001183398692,0.441229407787323,0.021941300630569458,0.016524248123168946,0.4796949565410614
3900,256.87403321266174,0.3267519223643417,0.4366718578338623,0.021175503730773926,0.01629506826400757,0.4741424298286438
4000,260.6719069480896,0.41924051449748734,0.4422199368476868,0.021337530612945556,0.01669091820716858,0.4802483856678009
4100,264.5389099121094,0.3679099919803048,0.4290431225299835,0.02192961096763611,0.01709152579307556,0.4680642592906952
4200,267.97549700737,0.28398241914848765,0.44165815591812135,0.021259750127792357,0.015101743936538696,0.4780196499824524
4300,271.3518400192261,0.18507310745668293,0.4605331802368164,0.021492664813995362,0.014846227169036864,0.49687207221984864
4400,274.8070619106293,0.44024874911156986,0.4473359572887421,0.021327787637710573,0.015111080408096313,0.48377482533454896
4500,278.2608790397644,0.4913960998752191,0.44710230827331543,0.021805702447891234,0.015160242319107056,0.4840682530403137
4600,282.0540111064911,0.34331611337562207,0.4279701375961304,0.02154992699623108,0.016517494916915895,0.46603755950927733
4700,286.3637750148773,0.4101917855360757,0.4440443503856659,0.021441251039505005,0.019365372657775878,0.48485097408294675
4800,290.140438079834,0.28649948414385107,0.43776525974273683,0.021445671319961546,0.01667336106300354,0.4758842921257019
4900,293.6576750278473,0.26840023352187425,0.43923845767974856,0.021810868978500365,0.01561730980873108,0.47666663646698
5000,297.2722580432892,0.3744859709562197,0.428267582654953,0.021663827896118162,0.016052877902984618,0.46598428845405576
5100,300.8275320529938,0.30497943635420094,0.43381231784820556,0.021550414562225343,0.01559499979019165,0.47095773220062254
5200,304.416051864624,0.32977220544290914,0.4432318377494812,0.021516830921173097,0.01583666920661926,0.48058533787727353
5300,308.01623916625977,0.27703719533832555,0.43585914492607114,0.02197417736053467,0.015896928310394288,0.47373025059700014
5400,311.6680591106415,0.4410690035632797,0.4414021921157837,0.02155633568763733,0.01616968035697937,0.4791282081604004
5500,315.3445611000061,0.32825236239908917,0.4278052282333374,0.021540337800979616,0.016236863136291503,0.46558242917060855
